id,name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
1,Luke Skywalker,172,77,blond,fair,blue,19BBY,male,Tatooine,Human
2,C-3PO,167,75,NA,gold,yellow,112BBY,NA,Tatooine,Droid
3,R2-D2,96,32,NA,"white, blue",red,33BBY,NA,Naboo,Droid
4,Darth Vader,202,136,none,white,yellow,41.9BBY,male,Tatooine,Human
5,Leia Organa,150,49,brown,light,brown,19BBY,female,Alderaan,Human
6,Owen Lars,178,120,"brown, grey",light,blue,52BBY,male,Tatooine,Human
7,Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,Tatooine,Human
8,R5-D4,97,32,NA,"white, red",red,NA,NA,Tatooine,Droid
9,Biggs Darklighter,183,84,black,light,brown,24BBY,male,Tatooine,Human
10,Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57BBY,male,Stewjon,Human
11,Anakin Skywalker,188,84,blond,fair,blue,41.9BBY,male,Tatooine,Human
12,Wilhuff Tarkin,180,99,"auburn, grey",fair,blue,64BBY,male,Eriadu,Human
13,Chewbacca,228,112,brown,NA,blue,200BBY,male,Kashyyyk,Wookiee
14,Han Solo,180,80,brown,fair,brown,29BBY,male,Corellia,Human
15,Greedo,173,74,NA,green,black,44BBY,male,Rodia,Rodian
16,Jabba Desilijic Tiure,175,1358,NA,"green-tan, brown",orange,600BBY,hermaphrodite,Nal Hutta,Hutt
17,Wedge Antilles,170,77,brown,fair,hazel,21BBY,male,Corellia,Human
18,Jek Tono Porkins,180,110,brown,fair,blue,NA,male,Bestine IV,Human
19,Yoda,66,17,white,green,brown,896BBY,male,NA,Yoda's species
20,Palpatine,170,75,grey,pale,yellow,82BBY,male,Naboo,Human
21,Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,Kamino,Human
22,IG-88,200,140,none,metal,red,15BBY,none,NA,Droid
23,Bossk,190,113,none,green,red,53BBY,male,Trandosha,Trandoshan
24,Lando Calrissian,177,79,black,dark,brown,31BBY,male,Socorro,Human
25,Lobot,175,79,none,light,blue,37BBY,male,Bespin,Human
26,Ackbar,180,83,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari
27,Mon Mothma,150,87,auburn,fair,blue,48BBY,female,Chandrila,Human
28,Arvel Crynyd,90,77,brown,fair,brown,NA,male,NA,Human
29,Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,Endor,Ewok
30,Nien Nunb,160,68,none,grey,black,NA,male,Sullust,Sullustan
31,Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,NA,Human
